"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.414915125E0,1.084253401E-1,-5.056379735E-2,-1.174881041E-2,1.202114243E-1
2.424893125E0,9.226736365E-2,-1.803164363E-2,7.756508807E-2,1.218800618E-1
2.434872125E0,8.489570579E-2,-2.189489901E-2,1.353478396E-1,1.612628449E-1
2.444850125E0,1.161166214E-1,-4.388510764E-2,1.387345652E-1,1.861618973E-1
2.454828125E0,1.256363088E-1,-5.091112196E-2,6.574084857E-2,1.506594955E-1
2.464807125E0,9.937646326E-2,-5.060063481E-2,-1.615233025E-2,1.126809809E-1
2.474785125E0,8.706783677E-2,-3.396530628E-2,-1.037716874E-1,1.396531895E-1
2.484764125E0,3.339851009E-2,-1.492501795E-2,-1.677577865E-1,1.717000046E-1
2.494742125E0,1.815118264E-2,-6.677520275E-4,-1.469118963E-1,1.480304583E-1
2.504720125E0,4.011573661E-2,1.627923310E-2,-6.605131745E-2,7.897507386E-2
2.514699125E0,3.779833887E-2,2.047870338E-2,5.829321345E-2,7.243059055E-2
2.524677125E0,9.117334960E-2,3.452897787E-2,1.599874216E-1,1.873520885E-1
2.534656125E0,1.335061859E-1,1.353279591E-2,1.538109895E-1,2.041197167E-1
2.544634125E0,1.421255483E-1,1.019169688E-2,1.056351950E-1,1.773762571E-1
2.554612125E0,1.161740520E-1,4.008266330E-3,7.787732938E-2,1.399191016E-1
2.564591125E0,1.264638359E-1,2.118387759E-2,3.444417497E-2,1.327714565E-1
2.574569125E0,1.245726454E-1,1.846550703E-3,-1.438981500E-3,1.245946403E-1
2.584548125E0,1.125500391E-1,-8.950332999E-3,-1.461394608E-2,1.138472098E-1
2.594526125E0,1.098127930E-1,-2.273105085E-2,7.986693587E-3,1.124248080E-1
2.604505125E0,1.055496795E-1,-3.546160877E-2,1.268317720E-2,1.120674953E-1
