"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.726465833E0,1.398027418E-1,-2.988172781E-1,1.039085305E0,1.090199451E0
2.736443833E0,-5.311784745E-2,-5.164699405E-1,7.582452911E-1,9.189660640E-1
2.746421833E0,-2.998821840E-1,-6.411536282E-1,4.639180899E-1,8.463021289E-1
2.756398833E0,-4.939212863E-1,-6.799651068E-1,2.350500293E-1,8.726736503E-1
2.766376833E0,-5.410981205E-1,-6.971366251E-1,1.205052674E-2,8.825711672E-1
2.776354833E0,-3.802414006E-1,-5.452791721E-1,-4.978027046E-2,6.666265623E-1
2.786332833E0,-2.564468552E-1,-3.905799723E-1,8.689949177E-2,4.752570104E-1
2.796309833E0,-1.708527178E-1,-3.662818676E-1,2.098765965E-1,4.554132667E-1
2.806287833E0,-1.367597777E-1,-3.607088864E-1,2.826713616E-1,4.782439087E-1
2.816265833E0,-1.844155903E-1,-3.858051360E-1,2.064195033E-1,4.748302057E-1
2.826243833E0,-2.145185000E-1,-4.593958533E-1,1.928879499E-2,5.073803253E-1
2.836220833E0,-2.530199665E-1,-5.458375812E-1,-1.456670789E-1,6.190126544E-1
2.846198833E0,-1.944443508E-1,-5.527156609E-1,-1.285967906E-1,5.998669369E-1
2.856176833E0,-7.018422084E-2,-5.195929384E-1,-1.503845394E-2,5.245272172E-1
2.866154833E0,2.735053394E-2,-4.925144827E-1,1.828096890E-1,5.260588844E-1
2.876131833E0,1.081674779E-1,-4.943867612E-1,4.143751433E-1,6.540835056E-1
2.886109833E0,2.021948169E-1,-5.110115647E-1,5.840642651E-1,8.019642318E-1
2.896087833E0,2.033770691E-1,-5.439115083E-1,6.810959584E-1,8.950383599E-1
2.906065833E0,1.324511472E-1,-6.066649961E-1,6.743978997E-1,9.167323770E-1
2.916042833E0,-2.866383685E-2,-6.254082459E-1,6.069544333E-1,8.719809480E-1
2.926020833E0,-2.694832042E-1,-6.039553964E-1,4.405011606E-1,7.946222944E-1
2.935998833E0,-4.833695105E-1,-5.698731458E-1,2.218468702E-1,7.794982488E-1
